X,study_day,visit_date,age_at_visit,region,prob,lower.CL,upper.CL
1,1,06/11/2022,3,Wales,0,0,0
2,2,07/11/2022,3,Wales,0,0,0
3,3,08/11/2022,3,Wales,0,0,0
4,4,09/11/2022,3,Wales,0,0,0
5,5,10/11/2022,3,Wales,0,0,0
6,6,11/11/2022,3,Wales,0,0,0
7,7,12/11/2022,3,Wales,0,0,0
8,8,13/11/2022,3,Wales,0,0,0
9,9,14/11/2022,3,Wales,0,0,0
10,10,15/11/2022,3,Wales,0,0,0
11,11,16/11/2022,3,Wales,0,0,0
12,12,17/11/2022,3,Wales,0,0,0
13,13,18/11/2022,3,Wales,0,0,0
14,14,19/11/2022,3,Wales,0,0,0
15,15,20/11/2022,3,Wales,0,0,0
16,16,21/11/2022,3,Wales,0,0,0
17,17,22/11/2022,3,Wales,0,0,0
18,18,23/11/2022,3,Wales,0,0,0
19,19,24/11/2022,3,Wales,0,0,0
20,20,25/11/2022,3,Wales,0,0,0
21,21,26/11/2022,3,Wales,0,0,0
22,22,27/11/2022,3,Wales,0,0,0
23,23,28/11/2022,3,Wales,0,0,0
24,24,29/11/2022,3,Wales,0,0,0
25,25,30/11/2022,3,Wales,0,0,0
26,26,01/12/2022,3,Wales,0,0,0
27,27,02/12/2022,3,Wales,0,0,0
28,28,03/12/2022,3,Wales,0,0,0
29,29,04/12/2022,3,Wales,0,0,0
30,30,05/12/2022,3,Wales,0,0,0
31,31,06/12/2022,3,Wales,0,0,0
32,32,07/12/2022,3,Wales,0,0,0
33,33,08/12/2022,3,Wales,0,0,0
34,34,09/12/2022,3,Wales,0,0,0
35,35,10/12/2022,3,Wales,0,0,0
36,36,11/12/2022,3,Wales,0,0,0
37,37,12/12/2022,3,Wales,0,0,0
38,38,13/12/2022,3,Wales,0,0,0
39,39,14/12/2022,3,Wales,0,0,0
40,40,15/12/2022,3,Wales,0,0,0
41,41,16/12/2022,3,Wales,0,0,0
42,42,17/12/2022,3,Wales,0,0,0
43,43,18/12/2022,3,Wales,0,0,0
44,44,19/12/2022,3,Wales,0,0,0
45,45,20/12/2022,3,Wales,0,0,0
46,46,21/12/2022,3,Wales,0,0,0
47,47,22/12/2022,3,Wales,0,0,0
48,48,23/12/2022,3,Wales,0,0,0
49,49,24/12/2022,3,Wales,0,0,0
50,50,25/12/2022,3,Wales,0,0,0
51,51,26/12/2022,3,Wales,0,0,0
52,52,27/12/2022,3,Wales,0,0,0
53,53,28/12/2022,3,Wales,0,0,0
54,54,29/12/2022,3,Wales,0,0,0
55,55,30/12/2022,3,Wales,0,0,0
56,56,31/12/2022,3,Wales,0,0,0
57,1,06/11/2022,4,Wales,0,0,0
58,2,07/11/2022,4,Wales,0,0,0
59,3,08/11/2022,4,Wales,0,0,0
60,4,09/11/2022,4,Wales,0,0,0
61,5,10/11/2022,4,Wales,0,0,0
62,6,11/11/2022,4,Wales,0,0,0
63,7,12/11/2022,4,Wales,0,0,0
64,8,13/11/2022,4,Wales,0,0,0
65,9,14/11/2022,4,Wales,0,0,0
66,10,15/11/2022,4,Wales,0,0,0
67,11,16/11/2022,4,Wales,0,0,0
68,12,17/11/2022,4,Wales,0,0,0
69,13,18/11/2022,4,Wales,0,0,0
70,14,19/11/2022,4,Wales,0,0,0
71,15,20/11/2022,4,Wales,0,0,0
72,16,21/11/2022,4,Wales,0,0,0
73,17,22/11/2022,4,Wales,0,0,0
74,18,23/11/2022,4,Wales,0,0,0
75,19,24/11/2022,4,Wales,0,0,0
76,20,25/11/2022,4,Wales,0,0,0
77,21,26/11/2022,4,Wales,0,0,0
78,22,27/11/2022,4,Wales,0,0,0
79,23,28/11/2022,4,Wales,0,0,0
80,24,29/11/2022,4,Wales,0,0,0
81,25,30/11/2022,4,Wales,0,0,0
82,26,01/12/2022,4,Wales,0,0,0
83,27,02/12/2022,4,Wales,0,0,0
84,28,03/12/2022,4,Wales,0,0,0
85,29,04/12/2022,4,Wales,0,0,0
86,30,05/12/2022,4,Wales,0,0,0
87,31,06/12/2022,4,Wales,0,0,0
88,32,07/12/2022,4,Wales,0,0,0
89,33,08/12/2022,4,Wales,0,0,0
90,34,09/12/2022,4,Wales,0,0,0
91,35,10/12/2022,4,Wales,0,0,0
92,36,11/12/2022,4,Wales,0,0,0
93,37,12/12/2022,4,Wales,0,0,0
94,38,13/12/2022,4,Wales,0,0,0
95,39,14/12/2022,4,Wales,0,0,0
96,40,15/12/2022,4,Wales,0,0,0
97,41,16/12/2022,4,Wales,0,0,0
98,42,17/12/2022,4,Wales,0,0,0
99,43,18/12/2022,4,Wales,0,0,0
100,44,19/12/2022,4,Wales,0,0,0
101,45,20/12/2022,4,Wales,0,0,0
102,46,21/12/2022,4,Wales,0,0,0
103,47,22/12/2022,4,Wales,0,0,0
104,48,23/12/2022,4,Wales,0,0,0
105,49,24/12/2022,4,Wales,0,0,0
106,50,25/12/2022,4,Wales,0,0,0
107,51,26/12/2022,4,Wales,0,0,0
108,52,27/12/2022,4,Wales,0,0,0
109,53,28/12/2022,4,Wales,0,0,0
110,54,29/12/2022,4,Wales,0,0,0
111,55,30/12/2022,4,Wales,0,0,0
112,56,31/12/2022,4,Wales,0,0,0
113,1,06/11/2022,5,Wales,0,0,0
114,2,07/11/2022,5,Wales,0,0,0
115,3,08/11/2022,5,Wales,0,0,0
116,4,09/11/2022,5,Wales,0,0,0
117,5,10/11/2022,5,Wales,0,0,0
118,6,11/11/2022,5,Wales,0,0,0
119,7,12/11/2022,5,Wales,0,0,0
120,8,13/11/2022,5,Wales,0,0,0
121,9,14/11/2022,5,Wales,0,0,0
122,10,15/11/2022,5,Wales,0,0,0
123,11,16/11/2022,5,Wales,0,0,0
124,12,17/11/2022,5,Wales,0,0,0
125,13,18/11/2022,5,Wales,0,0,0
126,14,19/11/2022,5,Wales,0,0,0
127,15,20/11/2022,5,Wales,0,0,0
128,16,21/11/2022,5,Wales,0,0,0
129,17,22/11/2022,5,Wales,0,0,0
130,18,23/11/2022,5,Wales,0,0,0
131,19,24/11/2022,5,Wales,0,0,0
132,20,25/11/2022,5,Wales,0,0,0
133,21,26/11/2022,5,Wales,0,0,0
134,22,27/11/2022,5,Wales,0,0,0
135,23,28/11/2022,5,Wales,0,0,0
136,24,29/11/2022,5,Wales,0,0,0
137,25,30/11/2022,5,Wales,0,0,0
138,26,01/12/2022,5,Wales,0,0,0
139,27,02/12/2022,5,Wales,0,0,0
140,28,03/12/2022,5,Wales,0,0,0
141,29,04/12/2022,5,Wales,0,0,0
142,30,05/12/2022,5,Wales,0,0,0
143,31,06/12/2022,5,Wales,0,0,0
144,32,07/12/2022,5,Wales,0,0,0
145,33,08/12/2022,5,Wales,0,0,0
146,34,09/12/2022,5,Wales,0,0,0
147,35,10/12/2022,5,Wales,0,0,0
148,36,11/12/2022,5,Wales,0,0,0
149,37,12/12/2022,5,Wales,0,0,0
150,38,13/12/2022,5,Wales,0,0,0
151,39,14/12/2022,5,Wales,0,0,0
152,40,15/12/2022,5,Wales,0,0,0
153,41,16/12/2022,5,Wales,0,0,0
154,42,17/12/2022,5,Wales,0,0,0
155,43,18/12/2022,5,Wales,0,0,0
156,44,19/12/2022,5,Wales,0,0,0
157,45,20/12/2022,5,Wales,0,0,0
158,46,21/12/2022,5,Wales,0,0,0
159,47,22/12/2022,5,Wales,0,0,0
160,48,23/12/2022,5,Wales,0,0,0
161,49,24/12/2022,5,Wales,0,0,0
162,50,25/12/2022,5,Wales,0,0,0
163,51,26/12/2022,5,Wales,0,0,0
164,52,27/12/2022,5,Wales,0,0,0
165,53,28/12/2022,5,Wales,0,0,0
166,54,29/12/2022,5,Wales,0,0,0
167,55,30/12/2022,5,Wales,0,0,0
168,56,31/12/2022,5,Wales,0,0,0
169,1,06/11/2022,6,Wales,0,0,0
170,2,07/11/2022,6,Wales,0,0,0
171,3,08/11/2022,6,Wales,0,0,0
172,4,09/11/2022,6,Wales,0,0,0
173,5,10/11/2022,6,Wales,0,0,0
174,6,11/11/2022,6,Wales,0,0,0
175,7,12/11/2022,6,Wales,0,0,0
176,8,13/11/2022,6,Wales,0,0,0
177,9,14/11/2022,6,Wales,0,0,0
178,10,15/11/2022,6,Wales,0,0,0
179,11,16/11/2022,6,Wales,0,0,0
180,12,17/11/2022,6,Wales,0,0,0
181,13,18/11/2022,6,Wales,0,0,0
182,14,19/11/2022,6,Wales,0,0,0
183,15,20/11/2022,6,Wales,0,0,0
184,16,21/11/2022,6,Wales,0,0,0
185,17,22/11/2022,6,Wales,0,0,0
186,18,23/11/2022,6,Wales,0,0,0
187,19,24/11/2022,6,Wales,0,0,0
188,20,25/11/2022,6,Wales,0,0,0
189,21,26/11/2022,6,Wales,0,0,0
190,22,27/11/2022,6,Wales,0,0,0
191,23,28/11/2022,6,Wales,0,0,0
192,24,29/11/2022,6,Wales,0,0,0
193,25,30/11/2022,6,Wales,0,0,0
194,26,01/12/2022,6,Wales,0,0,0
195,27,02/12/2022,6,Wales,0,0,0
196,28,03/12/2022,6,Wales,0,0,0
197,29,04/12/2022,6,Wales,0,0,0
198,30,05/12/2022,6,Wales,0,0,0
199,31,06/12/2022,6,Wales,0,0,0
200,32,07/12/2022,6,Wales,0,0,0
201,33,08/12/2022,6,Wales,0,0,0
202,34,09/12/2022,6,Wales,0,0,0
203,35,10/12/2022,6,Wales,0,0,0
204,36,11/12/2022,6,Wales,0,0,0
205,37,12/12/2022,6,Wales,0,0,0
206,38,13/12/2022,6,Wales,0,0,0
207,39,14/12/2022,6,Wales,0,0,0
208,40,15/12/2022,6,Wales,0,0,0
209,41,16/12/2022,6,Wales,0,0,0
210,42,17/12/2022,6,Wales,0,0,0
211,43,18/12/2022,6,Wales,0,0,0
212,44,19/12/2022,6,Wales,0,0,0
213,45,20/12/2022,6,Wales,0,0,0
214,46,21/12/2022,6,Wales,0,0,0
215,47,22/12/2022,6,Wales,0,0,0
216,48,23/12/2022,6,Wales,0,0,0
217,49,24/12/2022,6,Wales,0,0,0
218,50,25/12/2022,6,Wales,0,0,0
219,51,26/12/2022,6,Wales,0,0,0
220,52,27/12/2022,6,Wales,0,0,0
221,53,28/12/2022,6,Wales,0,0,0
222,54,29/12/2022,6,Wales,0,0,0
223,55,30/12/2022,6,Wales,0,0,0
224,56,31/12/2022,6,Wales,0,0,0
225,1,06/11/2022,7,Wales,0,0,0
226,2,07/11/2022,7,Wales,0,0,0
227,3,08/11/2022,7,Wales,0,0,0
228,4,09/11/2022,7,Wales,0,0,0
229,5,10/11/2022,7,Wales,0,0,0
230,6,11/11/2022,7,Wales,0,0,0
231,7,12/11/2022,7,Wales,0,0,0
232,8,13/11/2022,7,Wales,0,0,0
233,9,14/11/2022,7,Wales,0,0,0
234,10,15/11/2022,7,Wales,0,0,0
235,11,16/11/2022,7,Wales,0,0,0
236,12,17/11/2022,7,Wales,0,0,0
237,13,18/11/2022,7,Wales,0,0,0
238,14,19/11/2022,7,Wales,0,0,0
239,15,20/11/2022,7,Wales,0,0,0
240,16,21/11/2022,7,Wales,0,0,0
241,17,22/11/2022,7,Wales,0,0,0
242,18,23/11/2022,7,Wales,0,0,0
243,19,24/11/2022,7,Wales,0,0,0
244,20,25/11/2022,7,Wales,0,0,0
245,21,26/11/2022,7,Wales,0,0,0
246,22,27/11/2022,7,Wales,0,0,0
247,23,28/11/2022,7,Wales,0,0,0
248,24,29/11/2022,7,Wales,0,0,0
249,25,30/11/2022,7,Wales,0,0,0
250,26,01/12/2022,7,Wales,0,0,0
251,27,02/12/2022,7,Wales,0,0,0
252,28,03/12/2022,7,Wales,0,0,0
253,29,04/12/2022,7,Wales,0,0,0
254,30,05/12/2022,7,Wales,0,0,0
255,31,06/12/2022,7,Wales,0,0,0
256,32,07/12/2022,7,Wales,0,0,0
257,33,08/12/2022,7,Wales,0,0,0
258,34,09/12/2022,7,Wales,0,0,0
259,35,10/12/2022,7,Wales,0,0,0
260,36,11/12/2022,7,Wales,0,0,0
261,37,12/12/2022,7,Wales,0,0,0
262,38,13/12/2022,7,Wales,0,0,0
263,39,14/12/2022,7,Wales,0,0,0
264,40,15/12/2022,7,Wales,0,0,0
265,41,16/12/2022,7,Wales,0,0,0
266,42,17/12/2022,7,Wales,0,0,0
267,43,18/12/2022,7,Wales,0,0,0
268,44,19/12/2022,7,Wales,0,0,0
269,45,20/12/2022,7,Wales,0,0,0
270,46,21/12/2022,7,Wales,0,0,0
271,47,22/12/2022,7,Wales,0,0,0
272,48,23/12/2022,7,Wales,0,0,0
273,49,24/12/2022,7,Wales,0,0,0
274,50,25/12/2022,7,Wales,0,0,0
275,51,26/12/2022,7,Wales,0,0,0
276,52,27/12/2022,7,Wales,0,0,0
277,53,28/12/2022,7,Wales,0,0,0
278,54,29/12/2022,7,Wales,0,0,0
279,55,30/12/2022,7,Wales,0,0,0
280,56,31/12/2022,7,Wales,0,0,0
281,1,06/11/2022,8,Wales,0,0,0
282,2,07/11/2022,8,Wales,0,0,0
283,3,08/11/2022,8,Wales,0,0,0
284,4,09/11/2022,8,Wales,0,0,0
285,5,10/11/2022,8,Wales,0,0,0
286,6,11/11/2022,8,Wales,0,0,0
287,7,12/11/2022,8,Wales,0,0,0
288,8,13/11/2022,8,Wales,0,0,0
289,9,14/11/2022,8,Wales,0,0,0
290,10,15/11/2022,8,Wales,0,0,0
291,11,16/11/2022,8,Wales,0,0,0
292,12,17/11/2022,8,Wales,0,0,0
293,13,18/11/2022,8,Wales,0,0,0
294,14,19/11/2022,8,Wales,0,0,0
295,15,20/11/2022,8,Wales,0,0,0
296,16,21/11/2022,8,Wales,0,0,0
297,17,22/11/2022,8,Wales,0,0,0
298,18,23/11/2022,8,Wales,0,0,0
299,19,24/11/2022,8,Wales,0,0,0
300,20,25/11/2022,8,Wales,0,0,0
301,21,26/11/2022,8,Wales,0,0,0
302,22,27/11/2022,8,Wales,0,0,0
303,23,28/11/2022,8,Wales,0,0,0
304,24,29/11/2022,8,Wales,0,0,0
305,25,30/11/2022,8,Wales,0,0,0
306,26,01/12/2022,8,Wales,0,0,0
307,27,02/12/2022,8,Wales,0,0,0
308,28,03/12/2022,8,Wales,0,0,0
309,29,04/12/2022,8,Wales,0,0,0
310,30,05/12/2022,8,Wales,0,0,0
311,31,06/12/2022,8,Wales,0,0,0
312,32,07/12/2022,8,Wales,0,0,0
313,33,08/12/2022,8,Wales,0,0,0
314,34,09/12/2022,8,Wales,0,0,0
315,35,10/12/2022,8,Wales,0,0,0
316,36,11/12/2022,8,Wales,0,0,0
317,37,12/12/2022,8,Wales,0,0,0
318,38,13/12/2022,8,Wales,0,0,0
319,39,14/12/2022,8,Wales,0,0,0
320,40,15/12/2022,8,Wales,0,0,0
321,41,16/12/2022,8,Wales,0,0,0
322,42,17/12/2022,8,Wales,0,0,0
323,43,18/12/2022,8,Wales,0,0,0
324,44,19/12/2022,8,Wales,0,0,0
325,45,20/12/2022,8,Wales,0,0,0
326,46,21/12/2022,8,Wales,0,0,0
327,47,22/12/2022,8,Wales,0,0,0
328,48,23/12/2022,8,Wales,0,0,0
329,49,24/12/2022,8,Wales,0,0,0
330,50,25/12/2022,8,Wales,0,0,0
331,51,26/12/2022,8,Wales,0,0,0
332,52,27/12/2022,8,Wales,0,0,0
333,53,28/12/2022,8,Wales,0,0,0
334,54,29/12/2022,8,Wales,0,0,0
335,55,30/12/2022,8,Wales,0,0,0
336,56,31/12/2022,8,Wales,0,0,0
337,1,06/11/2022,9,Wales,0,0,0
338,2,07/11/2022,9,Wales,0,0,0
339,3,08/11/2022,9,Wales,0,0,0
340,4,09/11/2022,9,Wales,0,0,0
341,5,10/11/2022,9,Wales,0,0,0
342,6,11/11/2022,9,Wales,0,0,0
343,7,12/11/2022,9,Wales,0,0,0
344,8,13/11/2022,9,Wales,0,0,0
345,9,14/11/2022,9,Wales,0,0,0
346,10,15/11/2022,9,Wales,0,0,0
347,11,16/11/2022,9,Wales,0,0,0
348,12,17/11/2022,9,Wales,0,0,0
349,13,18/11/2022,9,Wales,0,0,0
350,14,19/11/2022,9,Wales,0,0,0
351,15,20/11/2022,9,Wales,0,0,0
352,16,21/11/2022,9,Wales,0,0,0
353,17,22/11/2022,9,Wales,0,0,0
354,18,23/11/2022,9,Wales,0,0,0
355,19,24/11/2022,9,Wales,0,0,0
356,20,25/11/2022,9,Wales,0,0,0
357,21,26/11/2022,9,Wales,0,0,0
358,22,27/11/2022,9,Wales,0,0,0
359,23,28/11/2022,9,Wales,0,0,0
360,24,29/11/2022,9,Wales,0,0,0
361,25,30/11/2022,9,Wales,0,0,0
362,26,01/12/2022,9,Wales,0,0,0
363,27,02/12/2022,9,Wales,0,0,0
364,28,03/12/2022,9,Wales,0,0,0
365,29,04/12/2022,9,Wales,0,0,0
366,30,05/12/2022,9,Wales,0,0,0
367,31,06/12/2022,9,Wales,0,0,0
368,32,07/12/2022,9,Wales,0,0,0
369,33,08/12/2022,9,Wales,0,0,0
370,34,09/12/2022,9,Wales,0,0,0
371,35,10/12/2022,9,Wales,0,0,0
372,36,11/12/2022,9,Wales,0,0,0
373,37,12/12/2022,9,Wales,0,0,0
374,38,13/12/2022,9,Wales,0,0,0
375,39,14/12/2022,9,Wales,0,0,0
376,40,15/12/2022,9,Wales,0,0,0
377,41,16/12/2022,9,Wales,0,0,0
378,42,17/12/2022,9,Wales,0,0,0
379,43,18/12/2022,9,Wales,0,0,0
380,44,19/12/2022,9,Wales,0,0,0
381,45,20/12/2022,9,Wales,0,0,0
382,46,21/12/2022,9,Wales,0,0,0
