X,region,time,mean,ll,ul,country,variant
1,Northern Ireland,09/11/2022,0,0,0,Northern Ireland,ctall
2,Northern Ireland,10/11/2022,0,0,0,Northern Ireland,ctall
3,Northern Ireland,11/11/2022,0,0,0,Northern Ireland,ctall
4,Northern Ireland,12/11/2022,0,0,0,Northern Ireland,ctall
5,Northern Ireland,13/11/2022,0,0,0,Northern Ireland,ctall
6,Northern Ireland,14/11/2022,0,0,0,Northern Ireland,ctall
7,Northern Ireland,15/11/2022,0,0,0,Northern Ireland,ctall
8,Northern Ireland,16/11/2022,0,0,0,Northern Ireland,ctall
9,Northern Ireland,17/11/2022,0,0,0,Northern Ireland,ctall
10,Northern Ireland,18/11/2022,0,0,0,Northern Ireland,ctall
11,Northern Ireland,19/11/2022,0,0,0,Northern Ireland,ctall
12,Northern Ireland,20/11/2022,0,0,0,Northern Ireland,ctall
13,Northern Ireland,21/11/2022,0,0,0,Northern Ireland,ctall
14,Northern Ireland,22/11/2022,0,0,0,Northern Ireland,ctall
15,Northern Ireland,23/11/2022,0,0,0,Northern Ireland,ctall
16,Northern Ireland,24/11/2022,0,0,0,Northern Ireland,ctall
17,Northern Ireland,25/11/2022,0,0,0,Northern Ireland,ctall
18,Northern Ireland,26/11/2022,0,0,0,Northern Ireland,ctall
19,Northern Ireland,27/11/2022,0,0,0,Northern Ireland,ctall
20,Northern Ireland,28/11/2022,0,0,0,Northern Ireland,ctall
21,Northern Ireland,29/11/2022,0,0,0,Northern Ireland,ctall
22,Northern Ireland,30/11/2022,0,0,0,Northern Ireland,ctall
23,Northern Ireland,01/12/2022,0,0,0,Northern Ireland,ctall
24,Northern Ireland,02/12/2022,0,0,0,Northern Ireland,ctall
25,Northern Ireland,03/12/2022,0,0,0,Northern Ireland,ctall
26,Northern Ireland,04/12/2022,0,0,0,Northern Ireland,ctall
27,Northern Ireland,05/12/2022,0,0,0,Northern Ireland,ctall
28,Northern Ireland,06/12/2022,0,0,0,Northern Ireland,ctall
29,Northern Ireland,07/12/2022,0,0,0,Northern Ireland,ctall
30,Northern Ireland,08/12/2022,0,0,0,Northern Ireland,ctall
31,Northern Ireland,09/12/2022,0,0,0,Northern Ireland,ctall
32,Northern Ireland,10/12/2022,0,0,0,Northern Ireland,ctall
33,Northern Ireland,11/12/2022,0,0,0,Northern Ireland,ctall
34,Northern Ireland,12/12/2022,0,0,0,Northern Ireland,ctall
35,Northern Ireland,13/12/2022,0,0,0,Northern Ireland,ctall
36,Northern Ireland,14/12/2022,0,0,0,Northern Ireland,ctall
37,Northern Ireland,15/12/2022,0,0,0,Northern Ireland,ctall
38,Northern Ireland,16/12/2022,0,0,0,Northern Ireland,ctall
39,Northern Ireland,17/12/2022,0,0,0,Northern Ireland,ctall
40,Northern Ireland,18/12/2022,0,0,0,Northern Ireland,ctall
41,Northern Ireland,19/12/2022,0,0,0,Northern Ireland,ctall
42,Northern Ireland,20/12/2022,0,0,0,Northern Ireland,ctall
43,Northern Ireland,21/12/2022,0,0,0,Northern Ireland,ctall
44,Northern Ireland,22/12/2022,0,0,0,Northern Ireland,ctall
45,Northern Ireland,23/12/2022,0,0,0,Northern Ireland,ctall
46,Northern Ireland,24/12/2022,0,0,0,Northern Ireland,ctall
47,Northern Ireland,25/12/2022,0,0,0,Northern Ireland,ctall
48,Northern Ireland,26/12/2022,0,0,0,Northern Ireland,ctall
49,Northern Ireland,27/12/2022,0,0,0,Northern Ireland,ctall
50,Northern Ireland,28/12/2022,0,0,0,Northern Ireland,ctall
51,Northern Ireland,29/12/2022,0,0,0,Northern Ireland,ctall
52,Northern Ireland,30/12/2022,0,0,0,Northern Ireland,ctall
53,Northern Ireland,31/12/2022,0,0,0,Northern Ireland,ctall
54,Northern Ireland,01/01/2023,0,0,0,Northern Ireland,ctall
55,Northern Ireland,02/01/2023,0,0,0,Northern Ireland,ctall
56,Northern Ireland,03/01/2023,0,0,0,Northern Ireland,ctall
57,Northern Ireland,09/11/2022,0,0,0,Northern Ireland,ct4
58,Northern Ireland,10/11/2022,0,0,0,Northern Ireland,ct4
59,Northern Ireland,11/11/2022,0,0,0,Northern Ireland,ct4
60,Northern Ireland,12/11/2022,0,0,0,Northern Ireland,ct4
61,Northern Ireland,13/11/2022,0,0,0,Northern Ireland,ct4
62,Northern Ireland,14/11/2022,0,0,0,Northern Ireland,ct4
63,Northern Ireland,15/11/2022,0,0,0,Northern Ireland,ct4
64,Northern Ireland,16/11/2022,0,0,0,Northern Ireland,ct4
65,Northern Ireland,17/11/2022,0,0,0,Northern Ireland,ct4
66,Northern Ireland,18/11/2022,0,0,0,Northern Ireland,ct4
67,Northern Ireland,19/11/2022,0,0,0,Northern Ireland,ct4
68,Northern Ireland,20/11/2022,0,0,0,Northern Ireland,ct4
69,Northern Ireland,21/11/2022,0,0,0,Northern Ireland,ct4
70,Northern Ireland,22/11/2022,0,0,0,Northern Ireland,ct4
71,Northern Ireland,23/11/2022,0,0,0,Northern Ireland,ct4
72,Northern Ireland,24/11/2022,0,0,0,Northern Ireland,ct4
73,Northern Ireland,25/11/2022,0,0,0,Northern Ireland,ct4
74,Northern Ireland,26/11/2022,0,0,0,Northern Ireland,ct4
75,Northern Ireland,27/11/2022,0,0,0,Northern Ireland,ct4
